"","lon","lat"
"682",-104.905203,39.653258
"683",-104.983469,39.724847
"684",-104.999069,39.749486
"685",-104.894931,39.626905
"686",-104.95919,39.720844
"687",-105.025435,39.787033
"688",-104.847287,39.771243
"689",-104.98446,39.72577
"690",-104.94027,39.773873
"691",-105.024963,39.786819
"692",-104.97662,39.740151
"693",-104.894235,39.739961
"695",-104.90277,39.740329
"696",-105.020666,39.711289
"697",-105.024863,39.679757
"698",-104.901391,39.652985
"699",-105.053037,39.656048
"700",-104.959229,39.680125
"701",-105.053037,39.656048
"702",-104.998838,39.733903
"703",-105.006663,39.785196
"704",-104.941016,39.698801
"705",-104.903289,39.720459
"706",-104.959055,39.740237
"707",-104.936908996,39.729159137
"708",-104.99337,39.74652
"709",-105.02238,39.71076
"710",-104.807567194,39.77365551
"711",-105.03566,39.7761
"712",-105.000694,39.75067
"713",-104.94045,39.773354
"714",-105.02504,39.67794
"716",-104.90438,39.6514
"717",-104.915733,39.740414
"718",-104.99239,39.74906
"720",-104.940376,39.678719
"724",-105.05351823,39.786989716
"725",-104.946075,39.73511
"726",-105.0031,39.75017
"727",-105.02527,39.78512
"728",-105.05321,39.73675
"729",-104.89994,39.74021
"730",-104.987595,39.706593
"731",-104.94113,39.68011
"732",-104.94188,39.740143
"733",-104.9875,39.722015
"734",-105.02524,39.743866
"735",-104.94062,39.711372
"736",-105.02509,39.69998
"737",-104.80794,39.774563
"738",-104.94074,39.678455
"739",-104.884,39.653084
"740",-104.891205,39.785816
"741",-105.0031,39.75017
"742",-104.99226,39.74001
"744",-104.99669,39.747044
"745",-104.87086,39.67476
"746",-104.977395,39.747637
"747",-104.809604,39.773488
"748",-105.007883,39.747399
"749",-104.940877,39.685837
"750",-104.986378,39.72524
"751",-104.89474698,39.636549353
